Store Number,Average Deliveries Per Month
0,5
1,11
2,13
3,9
4,10
5,8
7,9
9,9
10,15
11,14
12,9
13,10
14,11
15,10
17,9
18,11
19,10
20,9
21,9
22,9
23,9
24,4
25,9
26,9
27,9
28,9
29,13
30,9
31,19
32,9
34,11
35,13
37,13
38,9
39,5
40,9
41,9
42,9
43,9
44,5
46,6
47,20
48,9
49,8
50,9
51,13
52,13
54,9
56,5
58,6
59,10
60,15
61,9
62,13
63,9
64,9
65,9
68,9
69,13
70,16
72,9
73,9
74,6
76,8
77,9
78,5
79,9
80,9
81,7
82,17
83,4
85,8
86,9
88,5
89,10
90,9
91,9
92,9
93,8
94,9
95,13
96,9
97,9
98,9
99,9
100,14
101,19
102,9
103,9
104,9
106,9
107,19
108,9
109,5
111,9
112,9
113,8
115,8
116,9
117,9
120,9
121,10
122,13
123,8
124,8
125,21
126,9
129,9
130,12
132,6
134,9
135,5
136,5
137,9
138,9
139,8
140,12
144,11
145,9
146,8
147,9
148,10
149,9
150,9
151,14
152,10
155,9
156,5
157,8
158,9
159,13
160,9
161,12
162,8
163,9
165,9
166,6
168,9
169,3
170,4
171,11
172,9
173,9
174,13
175,8
177,20
178,8
179,10
180,9
181,7
182,9
183,9
184,10
185,9
186,9
188,21
189,9
190,9
192,9
194,10
195,9
196,8
197,9
198,9
199,9
200,9
201,9
203,12
204,9
205,9
206,8
207,5
208,4
209,13
210,5
211,9
212,8
213,9
214,9
215,8
216,10
217,8
218,5
219,9
220,9
221,9
222,8
224,11
225,9
227,9
228,9
229,4
230,9
231,9
232,9
233,9
234,9
236,9
237,8
238,9
239,9
240,9
242,8
243,15
244,8
246,9
247,5
248,9
249,9
250,9
251,9
252,9
253,5
254,4
256,9
257,10
258,9
259,9
260,9
261,14
262,9
264,9
265,9
266,9
267,9
268,9
269,9
271,9
272,9
275,13
276,9
277,9
278,9
280,9
281,4
282,9
283,9
284,9
285,13
286,9
287,13
288,9
289,9
290,9
292,9
293,9
294,9
295,11
297,9
298,9
299,17
300,9
301,12
302,9
303,9
304,9
305,9
306,9
307,9
308,9
309,9
310,9
311,9
312,9
313,10
314,9
315,8
316,10
317,4
318,10
319,10
320,8
321,13
322,10
324,9
325,9
326,9
327,5
328,9
329,9
330,10
331,9
332,9
333,4
334,4
335,14
337,9
338,9
339,4
340,16
341,9
342,5
343,9
344,9
345,10
346,9
347,7
350,9
352,5
354,9
355,9
356,9
357,9
359,9
360,9
361,9
362,5
363,13
364,9
365,9
366,9
368,9
369,9
370,8
371,9
372,9
373,8
374,9
375,9
376,9
378,5
379,9
381,9
382,7
383,9
384,10
385,6
386,9
387,9
388,12
389,9
390,9
391,9
392,9
393,9
394,9
395,9
396,9
397,8
398,9
399,8
400,10
401,8
402,9
403,9
404,8
405,10
406,9
407,9
408,10
409,9
410,17
412,9
413,11
414,14
415,9
417,9
418,10
419,9
420,14
421,9
422,2
423,9
424,11
425,8
426,9
427,9
428,9
429,9
431,18
432,12
433,9
434,8
435,9
436,9
437,9
438,4
440,9
442,9
443,9
444,10
445,4
446,9
447,11
448,9
449,9
450,9
451,9
452,9
453,5
454,2
456,9
457,9
458,9
459,9
460,4
461,11
462,9
463,10
464,10
465,5
466,9
467,9
468,26
469,10
470,9
471,8
472,9
473,9
474,9
475,9
476,9
477,9
478,9
479,9
480,9
481,9
482,9
483,10
484,5
485,9
486,9
487,5
488,13
489,10
490,9
491,18
