Store Number,Average Deliveries Per Week,Average Deliveries Per Month,FY 15 OOS Rate,Average Cases Delivered Per Week,Store Type,Total Footage,A-B Region,Delivery Schedule
1,2,11,2.46%,467,BASE STR SUPERCENTER,60,5,WeFr
2,3,13,2.27%,495,BASE STR SUPERCENTER,80,5,MoWeFr
3,2,9,1.19%,308,BASE STR SUPERCENTER,24,2,MoTh
4,2,10,2.65%,442,BASE STR SUPERCENTER,65,5,TuFr
7,2,9,3.28%,361,BASE STR SUPERCENTER,40,5,WeFr
9,2,9,3.46%,373,BASE STR SUPERCENTER,65,4,MoFr
10,3,15,2.00%,545,BASE STR SUPERCENTER,32,5,TuFr
11,3,14,1.56%,673,BASE STR SUPERCENTER,41,5,WeFr
12,2,9,5.24%,403,BASE STR SUPERCENTER,32,5,TuFr
13,2,10,2.83%,305,BASE STR SUPERCENTER,24,4,TuFr
14,3,11,2.54%,500,BASE STR SUPERCENTER,56,4,TuFr
15,2,10,2.59%,457,BASE STR SUPERCENTER,47,4,TuFr
17,2,9,1.83%,415,BASE STR SUPERCENTER,56,4,TuFr
18,2,11,2.32%,338,BASE STR SUPERCENTER,68,5,MoTh
19,2,10,1.28%,690,BASE STR SUPERCENTER,72,4,MoThFr
20,2,9,2.94%,512,BASE STR SUPERCENTER,24,4,TuFr
21,2,9,2.13%,535,BASE STR SUPERCENTER,53,4,TuFr
22,2,9,3.56%,414,BASE STR SUPERCENTER,41,5,TuFr
23,2,9,3.27%,301,BASE STR SUPERCENTER,56,5,TuFr
25,2,9,2.75%,313,BASE STR SUPERCENTER,41,4,MoTh
26,2,9,11.55%,77,BASE STR SUPERCENTER,24,4,TuFr
27,2,9,1.60%,310,BASE STR SUPERCENTER,24,4,TuFr
28,2,9,2.21%,328,BASE STR SUPERCENTER,41,5,TuFr
29,3,13,1.71%,782,BASE STR SUPERCENTER,88,4,Fr
30,2,9,6.45%,272,BASE STR SUPERCENTER,24,4,TuTh
31,4,19,1.95%,384,BASE STR SUPERCENTER,40,5,Fr
34,3,11,2.33%,374,BASE STR SUPERCENTER,60,4,Mo
35,3,13,5.89%,258,BASE STR SUPERCENTER,40,4,MoWeTh
37,3,13,3.79%,466,BASE STR SUPERCENTER,56,4,MoThFr
38,2,9,1.74%,186,BASE STR SUPERCENTER,24,5,Th
39,1,5,3.11%,126,BASE STR SUPERCENTER,24,4,Th
40,2,9,3.18%,480,BASE STR SUPERCENTER,56,4,TuFr
41,2,9,4.46%,465,BASE STR SUPERCENTER,40,5,TuFr
42,2,9,7.26%,117,BASE STR SUPERCENTER,28,4,TuFr
43,2,9,5.87%,169,BASE STR SUPERCENTER,24,4,MoTh
46,1,6,4.48%,344,BASE STR SUPERCENTER,32,4,Th
47,5,20,1.75%,358,BASE STR SUPERCENTER,36,5,Mo
48,2,9,1.33%,289,BASE STR SUPERCENTER,24,4,TuFr
49,2,8,4.07%,201,BASE STR SUPERCENTER,24,5,Th
50,2,9,6.06%,267,BASE STR SUPERCENTER,24,5,TuFr
51,3,13,0.89%,332,BASE STR SUPERCENTER,24,4,Fr
52,3,13,2.41%,536,BASE STR SUPERCENTER,69,5,TuFr
54,2,9,1.64%,387,BASE STR SUPERCENTER,60,5,TuFr
56,1,5,1.65%,257,BASE STR SUPERCENTER,48,4,Fr
59,2,10,2.99%,419,BASE STR SUPERCENTER,60,4,TuFr
60,3,15,1.46%,767,BASE STR SUPERCENTER,48,4,TuFr
61,2,9,3.92%,517,BASE STR SUPERCENTER,40,4,TuFr
62,3,13,2.75%,284,BASE STR SUPERCENTER,49,5,MoFr
63,2,9,2.73%,336,BASE STR SUPERCENTER,32,5,TuFr
64,2,9,3.54%,257,BASE STR SUPERCENTER,36,2,TuFr
65,2,9,1.52%,518,BASE STR SUPERCENTER,64,4,TuFr
68,2,9,3.70%,279,BASE STR SUPERCENTER,44,5,TuFr
69,3,13,2.41%,974,BASE STR SUPERCENTER,72,4,TuThFr
70,4,16,5.68%,464,BASE STR SUPERCENTER,40,5,MoTuFr
72,2,9,0.84%,184,BASE STR SUPERCENTER,32,4,MoTh
73,2,9,1.75%,349,BASE STR SUPERCENTER,39,5,TuFr
74,1,6,3.78%,117,BASE STR SUPERCENTER,36,5,We
76,2,8,4.76%,227,BASE STR SUPERCENTER,48,5,TuTh
77,2,9,2.84%,432,BASE STR SUPERCENTER,44,5,MoTh
78,1,5,2.46%,332,BASE STR SUPERCENTER,32,4,Th
79,2,9,2.37%,448,BASE STR SUPERCENTER,29,4,TuFr
80,2,9,2.73%,253,BASE STR SUPERCENTER,32,4,TuFr
81,2,7,0.95%,207,BASE STR SUPERCENTER,24,5,ThFr
82,4,17,2.26%,461,BASE STR SUPERCENTER,24,4,MoTu
83,2,4,,908,BASE STR SUPERCENTER,60,5,Fr
85,2,8,,92,BASE STR SUPERCENTER,72,5,MoFr
86,2,9,4.50%,390,BASE STR SUPERCENTER,56,4,MoTh
88,1,5,1.82%,199,BASE STR SUPERCENTER,59,4,Fr
89,2,10,1.87%,720,BASE STR SUPERCENTER,57,4,TuFr
90,2,9,3.59%,391,BASE STR SUPERCENTER,24,5,TuFr
91,2,9,5.30%,224,BASE STR SUPERCENTER,32,5,MoFr
92,2,9,2.09%,298,BASE STR SUPERCENTER,24,4,Fr
93,2,8,1.75%,301,BASE STR SUPERCENTER,40,2,TuFr
94,2,9,4.69%,468,BASE STR SUPERCENTER,72,2,Tu
95,3,13,2.10%,357,BASE STR SUPERCENTER,69,4,WeFr
96,2,9,4.40%,612,BASE STR SUPERCENTER,72,4,TuFr
97,2,9,2.01%,284,BASE STR SUPERCENTER,36,2,MoTh
98,2,9,2.46%,265,BASE STR SUPERCENTER,32,5,TuTh
99,2,9,1.97%,424,BASE STR SUPERCENTER,28,4,TuFr
100,3,14,1.67%,413,BASE STR SUPERCENTER,101,5,WeFr
101,4,19,2.28%,612,BASE STR SUPERCENTER,68,4,MoTuWeFr
102,2,9,3.37%,265,BASE STR SUPERCENTER,44,5,TuFr
103,2,9,8.11%,629,BASE STR SUPERCENTER,40,5,MoTh
104,2,9,3.50%,319,BASE STR SUPERCENTER,40,2,MoTh
106,2,9,3.31%,230,BASE STR SUPERCENTER,40,3,MoTh
107,4,19,2.13%,184,BASE STR SUPERCENTER,32,2,MoThFr
108,2,9,1.97%,331,BASE STR SUPERCENTER,24,5,TuFr
109,1,5,3.82%,397,BASE STR SUPERCENTER,44,4,Th
111,2,9,1.73%,148,BASE STR SUPERCENTER,24,4,TuFr
112,2,9,2.29%,438,BASE STR SUPERCENTER,61,2,Tu
