Store.Number,Whlsr..,Whlsr.Name,A.B.Region,FY.15.OOS.Rate,Total.Footage,Average.Deliveries.Per.Week,Average.Cases.Delivered.Per.Week,Delivery.Schedule,Average.Deliveries.Per.Month,cluster
1,20359,A&B DIST INC OF NWA,5,0.0246,60,2,467,WeFr,11,1
2,10327,MCBRIDE DISTRIBUTING,5,0.0227,80,3,495,MoWeFr,13,1
4,23559,A & B DISTRIBUTORS,5,0.0265,65,2,442,TuFr,10,1
9,42483,BOB RALPH DISTRIBUTION,4,0.0346,65,2,373,MoFr,9,1
11,10327,MCBRIDE DISTRIBUTING,5,0.0156,41,3,673,WeFr,14,1
14,32459,MISSOURI EAGLE LLC-LEBANON,4,0.0254,56,3,500,TuFr,11,1
15,32496,GREAT RIVERS DIST,4,0.0259,47,2,457,TuFr,10,1
17,22450,MISSOURI EAGLE,4,0.0183,56,2,415,TuFr,9,1
18,50363,C & C DISTRIBUTORS INC,5,0.0232,68,2,338,MoTh,11,1
19,42470,LUECKE DISTRIBUTING,4,0.0128,72,2,690,MoThFr,10,1
21,32459,MISSOURI EAGLE LLC-LEBANON,4,0.0213,53,2,535,TuFr,9,1
29,42446,N H SCHEPPERS,4,0.0171,88,3,782,Fr,13,1
34,32466,MISSOURI EAGLE,4,0.0233,60,3,374,Mo,11,1
37,22432,SOARING EAGLE DISTRIBUTING,4,0.0379,56,3,466,MoThFr,13,1
40,12448,GOLDEN EAGLE DISTRIBUTING,4,0.0318,56,2,480,TuFr,9,1
52,338,COCO BEVERAGE,5,0.0241,69,3,536,TuFr,13,1
54,10327,MCBRIDE DISTRIBUTING,5,0.0164,60,2,387,TuFr,9,1
59,22450,MISSOURI EAGLE,4,0.0299,60,2,419,TuFr,10,1
60,32465,KREY DISTRIBUTING COMPANY,4,0.0146,48,3,767,TuFr,15,1
65,22423,MULLALLY DISTRIBUTING,4,0.0152,64,2,518,TuFr,9,1
69,22442,H W HERRELL DISTRIBUTING,4,0.0241,72,3,974,TuThFr,13,1
89,32459,MISSOURI EAGLE LLC-LEBANON,4,0.019,57,2,720,TuFr,10,1
94,54153,BUD OF MEMPHIS,2,0.047,72,2,468,Tu,9,1
95,22432,SOARING EAGLE DISTRIBUTING,4,0.021,69,3,357,WeFr,13,1
96,32441,COUNTY BEVERAGE,4,0.044,72,2,612,TuFr,9,1
100,20359,A&B DIST INC OF NWA,5,0.017,101,3,413,WeFr,14,1
101,22423,MULLALLY DISTRIBUTING,4,0.023,68,4,612,MoTuWeFr,19,1
112,2316,MITCHELL DISTRIBUTING-COLUMBUS,2,0.023,61,2,438,Tu,9,1
124,350,GOLDEN EAGLE OF ARKANSAS,5,0.022,54,2,341,TuFr,8,1
126,350,GOLDEN EAGLE OF ARKANSAS,5,0.029,64,2,305,WeFr,9,1
135,32479,OMALLEY BEVERAGE,4,0.013,60,1,387,Th,5,1
137,3555,ANHEUSER-BUSCH SALES OF OK - OKC,5,0.019,40,2,562,TuFr,9,1
140,94285,STEVENSON BEER DISTRIBUTING,5,0.015,60,3,671,TuFr,12,1
144,10327,MCBRIDE DISTRIBUTING,5,0.015,56,2,691,TuFr,11,1
147,64230,BEN E KEITH,5,0.016,60,2,512,MoFr,9,1
148,64230,BEN E KEITH,5,0.011,73,2,971,MoTh,10,1
150,3555,ANHEUSER-BUSCH SALES OF OK - OKC,5,0.02,56,2,400,WeFr,9,1
151,23559,A & B DISTRIBUTORS,5,0.021,40,3,518,Tu,14,1
152,22442,H W HERRELL DISTRIBUTING,4,0.014,60,2,674,TuTh,10,1
159,42411,N H SCHEPPERS,4,0.017,109,3,450,Fr,13,1
160,50397,ARKANSAS DISTRIBUTING,5,0.022,48,2,554,TuFr,9,1
163,84257,R & K DISTRIBUTORS,5,0.066,72,2,689,TuFr,9,1
165,84257,R & K DISTRIBUTORS,5,0.015,48,2,669,MoTh,9,1
170,81755,EAGLE DIST OF SHREVEPORT,5,0.063,72,1,374,Th,4,1
172,22438,GREY EAGLE DISTRIBUTORS,4,0.026,68,2,814,TuFr,9,1
174,10903,CARROLL DISTRIBUTING,2,0.028,56,3,847,Sa,13,1
179,32486,WIL FISCHER DISTRIBUTING,4,0.036,60,2,352,We,10,1
180,84257,R & K DISTRIBUTORS,5,0.012,48,2,793,TuFr,9,1
184,32441,COUNTY BEVERAGE,4,0.079,68,2,612,MoTh,10,1
185,64247,BEN E KEITH,5,0.016,61,2,1005,TuTh,9,1
188,42471,RIVER EAGLE DISTRIBUTING,4,0.028,40,5,588,MoTuWeFr,21,1
192,4163,AJAX TURNER,2,0.022,73,2,268,TuFr,9,1
194,94213,WISMER DISTRIBUTING,5,0.061,61,2,711,TuFr,10,1
196,21261,VENEGONI DISTRIBUTING,3,0.013,76,2,305,TuFr,8,1
197,81236,G & M DISTRIBUTORS,3,0.012,45,2,401,TuFr,9,1
198,21221,DONNEWALD DISTRIBUTING,3,0.016,52,2,529,TuFr,9,1
200,51245,A GAUDIO & SONS,3,0.013,48,2,444,TuFr,9,1
206,64221,BEN E KEITH,5,0.03,63,2,471,MoTh,8,1
213,51265,RONCHETTI DISTRIBUTING,3,0.012,49,2,533,TuFr,9,1
214,44207,DEL PAPA DISTRIBUTING,5,0.029,56,2,660,MoTh,9,1
217,64247,BEN E KEITH,5,0.033,60,2,402,MoTh,8,1
219,42482,COUNTY DISTRIBUTING,4,0.019,56,2,751,TuFr,9,1
220,64225,BEN E KEITH,5,0.026,72,2,558,TuFr,9,1
228,64225,BEN E KEITH,5,0.031,72,2,533,TuFr,9,1
234,32464,NORTH K C BEVERAGE,4,0.038,81,2,767,MoTh,9,1
236,94285,STEVENSON BEER DISTRIBUTING,5,0.041,55,2,479,MoTh,9,1
237,41240,GOLDEN EAGLE DISTRIBUTING,3,0.028,68,2,291,MoTh,8,1
240,64230,BEN E KEITH,5,0.022,56,2,392,MoTh,9,1
243,32465,KREY DISTRIBUTING COMPANY,4,0.015,52,3,884,TuThFr,15,1
248,64259,BEN E KEITH,5,0.014,48,2,386,TuFr,9,1
249,44207,DEL PAPA DISTRIBUTING,5,0.034,48,2,947,TuFr,9,1
250,42482,COUNTY DISTRIBUTING,4,0.019,48,2,758,TuFr,9,1
251,84245,R & K DISTRIBUTORS,5,0.02,56,2,883,TuFr,9,1
253,21221,DONNEWALD DISTRIBUTING,3,0.027,56,1,417,Th,5,1
256,21221,DONNEWALD DISTRIBUTING,3,0.023,60,2,624,TuFr,9,1
259,64230,BEN E KEITH,5,0.018,40,2,572,Th,9,1
260,64221,BEN E KEITH,5,0.049,72,2,676,TuFr,9,1
261,338,COCO BEVERAGE,5,0.019,45,3,573,Fr,14,1
264,4109,BUD OF CLARKSVILLE,2,0.023,56,2,416,MoTh,9,1
265,64230,BEN E KEITH,5,0.018,56,2,831,TuTh,9,1
266,64225,BEN E KEITH,5,0.024,61,2,366,Tu,9,1
268,4173,CARDIN DISTRIBUTING,2,0.017,77,2,340,TuFr,9,1
275,94285,STEVENSON BEER DISTRIBUTING,5,0.023,56,3,839,MoWeFr,13,1
284,64225,BEN E KEITH,5,0.023,72,2,546,TuFr,9,1
285,94285,STEVENSON BEER DISTRIBUTING,5,0.027,60,3,979,Fr,13,1
286,64221,BEN E KEITH,5,0.035,69,2,667,TuFr,9,1
287,10121,BIRMINGHAM BUD DISTRIBUTING,2,0.056,56,3,596,WeFr,13,1
288,94285,STEVENSON BEER DISTRIBUTING,5,0.022,77,2,533,Tu,9,1
292,34206,BROWN DISTRIBUTING,5,0.021,72,2,265,Mo,9,1
295,22438,GREY EAGLE DISTRIBUTORS,4,0.035,48,3,626,Fr,11,1
298,10121,BIRMINGHAM BUD DISTRIBUTING,2,0.029,69,2,521,TuFr,9,1
299,1605,J B DISTRIBUTORS,3,0.023,64,4,415,MoTuThFr,17,1
306,10139,GADSDEN BUD DISTR CO INC,2,0.039,40,2,593,TuFr,9,1
309,41732,SCHILLING DISTRIBUTING,5,0.045,73,2,489,Th,9,1
310,41732,SCHILLING DISTRIBUTING,5,0.026,72,2,522,Th,9,1
313,22442,H W HERRELL DISTRIBUTING,4,0.023,56,2,656,Tu,10,1
314,4193,L & H DISTRIBUTING,2,0.017,56,2,268,TuFr,9,1
318,338,COCO BEVERAGE,5,0.015,48,2,531,TuFr,10,1
321,94211,MIKE HOPKINS,5,0.014,48,3,647,MoFr,13,1
322,64210,JACK HILLIARD DIST,5,0.044,56,2,463,TuFr,10,1
325,32464,NORTH K C BEVERAGE,4,0.031,60,2,477,TuFr,9,1
328,21228,ILLINOIS DISTRIBUTING,3,0.029,48,2,600,TuTh,9,1
330,54294,DEL PAPA DISTRIBUTING,5,0.039,64,2,460,TuFr,10,1
331,51733,SOUTHWEST BEVERAGE,5,0.031,80,2,409,TuFr,9,1
335,54139,CENTRAL DISTRIBUTORS,2,0.029,64,3,366,TuThFr,14,1
344,54294,DEL PAPA DISTRIBUTING,5,0.035,72,2,444,MoTh,9,1
345,64259,BEN E KEITH,5,0.056,72,2,637,TuFr,10,1
355,177,ADAMS BEVERAGES,2,0.029,77,2,574,MoTh,9,1
356,177,ADAMS BEVERAGES,2,0.031,61,2,736,TuFr,9,1
359,10327,MCBRIDE DISTRIBUTING,5,0.01,44,2,360,TuFr,9,1
361,21228,ILLINOIS DISTRIBUTING,3,0.031,76,2,663,TuTh,9,1
363,32408,KINKHORST BRUNSWICK,4,0.044,60,3,486,MoWeTh,13,1
364,84257,R & K DISTRIBUTORS,5,0.023,60,2,613,TuFr,9,1
371,64225,BEN E KEITH,5,0.023,80,2,520,TuFr,9,1
376,81774,EAGLE DIST OF SHREVEPORT,5,0.059,72,2,468,TuTh,9,1
379,32486,WIL FISCHER DISTRIBUTING,4,0.026,60,2,423,MoWe,9,1
381,64287,JACK HILLIARD DIST,5,0.019,48,2,489,TuFr,9,1
383,44207,DEL PAPA DISTRIBUTING,5,0.026,60,2,491,TuFr,9,1
386,51733,SOUTHWEST BEVERAGE,5,0.043,68,2,454,TuFr,9,1
389,3555,ANHEUSER-BUSCH SALES OF OK - OKC,5,0.025,40,2,541,TuFr,9,1
393,54139,CENTRAL DISTRIBUTORS,2,0.017,69,2,379,TuFr,9,1
395,94233,L & F DISTRIBUTORS,5,0.02,60,2,494,TuFr,9,1
397,94233,L & F DISTRIBUTORS,5,0.021,92,2,458,TuFr,8,1
400,94216,SILVER EAGLE DISTRIBUTING,5,0.131,108,2,560,TuFr,10,1
404,34206,BROWN DISTRIBUTING,5,0.018,40,2,628,MoTh,8,1
405,21736,SOUTHWEST BEVERAGE,5,0.026,56,2,451,MoFr,10,1
406,4163,AJAX TURNER,2,0.019,56,2,387,TuFr,9,1
407,64287,JACK HILLIARD DIST,5,0.026,96,2,542,TuFr,9,1
408,44207,DEL PAPA DISTRIBUTING,5,0.039,61,2,589,MoTh,10,1
410,41668,GOLDEN EAGLE DISTRIBUTING,3,0.036,72,4,395,MoTuThFr,17,1
412,64259,BEN E KEITH,5,0.053,48,2,640,TuFr,9,1
413,94239,L & F DISTRIBUTORS,5,0.026,48,3,889,MoTh,11,1
414,74298,FALLS DISTRIBUTING,5,0.021,48,3,453,MoTh,14,1
420,74298,FALLS DISTRIBUTING,5,0.017,61,3,585,MoTuFr,14,1
421,64247,BEN E KEITH,5,0.02,56,2,611,TuFr,9,1
424,10168,BAMA BUDWEISER OF SYLACAUGA,2,0.031,48,2,591,MoFr,11,1
426,64247,BEN E KEITH,5,0.033,61,2,421,TuFr,9,1
427,64230,BEN E KEITH,5,0.02,72,2,650,MoTh,9,1
429,94233,L & F DISTRIBUTORS,5,0.016,72,2,590,MoTh,9,1
432,10168,BAMA BUDWEISER OF SYLACAUGA,2,0.038,60,3,446,MoTh,12,1
435,21221,DONNEWALD DISTRIBUTING,3,0.017,48,2,741,TuFr,9,1
436,21221,DONNEWALD DISTRIBUTING,3,0.02,72,2,638,TuFr,9,1
437,94211,MIKE HOPKINS,5,0.035,60,2,632,TuFr,9,1
442,54215,L & F DIST OF CORPUS CHRISTI,5,0.07,68,2,465,TuFr,9,1
443,44276,SILVER EAGLE DISTRIBUTORS,5,0.033,60,2,333,TuFr,9,1
444,32486,WIL FISCHER DISTRIBUTING,4,0.019,57,2,393,MoTh,10,1
447,44276,SILVER EAGLE DISTRIBUTORS,5,0.022,77,2,744,TuTh,11,1
448,81774,EAGLE DIST OF SHREVEPORT,5,0.044,60,2,386,TuFr,9,1
449,44207,DEL PAPA DISTRIBUTING,5,0.052,69,2,482,TuFr,9,1
452,94233,L & F DISTRIBUTORS,5,0.014,40,2,543,TuFr,9,1
456,94239,L & F DISTRIBUTORS,5,0.022,65,2,695,TuFr,9,1
458,54215,L & F DIST OF CORPUS CHRISTI,5,0.039,60,2,573,MoTh,9,1
461,44276,SILVER EAGLE DISTRIBUTORS,5,0.041,61,2,1093,TuFr,11,1
462,94231,DEL PAPA DISTRIBUTING,5,0.029,61,2,844,MoTh,9,1
463,54209,L & F DISTRIBUTING,5,0.039,72,2,480,TuFr,10,1
464,54215,L & F DIST OF CORPUS CHRISTI,5,0.023,40,2,606,TuTh,10,1
467,64247,BEN E KEITH,5,0.018,72,2,538,MoTh,9,1
468,10388,EAGLE DIST OF TEXARKANA,5,0.008,73,6,1162,MoFr,26,1
471,64221,BEN E KEITH,5,0.024,57,2,388,MoTh,8,1
475,34206,BROWN DISTRIBUTING,5,0.026,68,2,316,TuFr,9,1
481,51264,RONCHETTI DISTRIBUTING,3,0.022,56,2,533,TuFr,9,1
483,30166,BAMA BUD OF MONTGOMERY,2,0.012,72,2,519,MoFr,10,1
489,71702,CHAMPAGNE BEVERAGE,5,0.05,72,2,400,TuFr,10,1
490,54215,L & F DIST OF CORPUS CHRISTI,5,0.024,64,2,420,TuFr,9,1
491,41668,GOLDEN EAGLE DISTRIBUTING,3,0.029,72,4,458,MoTuFr,18,1
492,31325,WORKING DISTRIBUTORS,3,0.031,60,2,439,Fr,8,1
494,81049,LA GRANGE GROCERY,2,0.053,68,2,476,MoTh,9,1
495,2316,MITCHELL DISTRIBUTING-COLUMBUS,2,0.026,61,2,331,MoFr,9,1
499,3555,ANHEUSER-BUSCH SALES OF OK - OKC,5,0.027,72,2,557,TuFr,9,1
500,44223,L & F DISTRIBUTORS,5,0.02,65,3,817,Sa,13,1
504,94231,DEL PAPA DISTRIBUTING,5,0.028,68,3,1073,MoWeFr,14,1
507,53929,BUD OF GREENVILLE,3,0.014,86,2,246,MoTh,9,1
508,34254,BEN E KEITH,5,0.025,72,2,474,TuFr,9,1
511,43975,H & S WHOLESALERS,2,0.026,73,2,705,TuTh,9,1
512,44223,L & F DISTRIBUTORS,5,0.019,76,3,809,TuFrSa,13,1
513,34271,STANDARD SALES,5,0.044,41,2,734,MoTh,10,1
514,93901,A B BEVERAGE,2,0.015,72,2,624,TuFr,10,1
515,23205,BUDWEISER OF SYLVA,2,0.024,45,4,627,Th,15,1
516,64259,BEN E KEITH,5,0.007,48,2,732,TuFr,9,1
521,51733,SOUTHWEST BEVERAGE,5,0.021,93,2,405,MoTh,9,1
524,54209,L & F DISTRIBUTING,5,0.038,56,2,414,MoTh,9,1
528,40940,GOLD COAST EAGLE,2,0.015,40,3,601,Sa,14,1
529,94231,DEL PAPA DISTRIBUTING,5,0.017,60,2,712,TuFr,10,1
530,60320,HEPCO,5,0.021,52,3,579,MoFrSa,14,1
531,41732,SCHILLING DISTRIBUTING,5,0.04,65,2,434,Fr,9,1
532,31712,MOCKLER BEVERAGE,5,0.038,81,2,702,MoTh,11,1
533,41732,SCHILLING DISTRIBUTING,5,0.059,73,2,428,TuTh,9,1
535,64242,BEN E KEITH,5,0.03,72,2,593,TuFr,9,1
536,64242,BEN E KEITH,5,0.021,56,2,486,MoTh,9,1
537,24264,STANDARD SALES,5,0.027,56,2,568,MoTh,9,1
538,90913,BURKHARDT SALES AND SERVICE,2,0.044,64,2,467,WeFr,9,1
540,71741,BUQUET DISTRIBUTING,5,0.032,40,2,577,WeFr,10,1
541,71702,CHAMPAGNE BEVERAGE,5,0.043,72,2,535,MoTh,10,1
542,71741,BUQUET DISTRIBUTING,5,0.031,84,2,492,TuTh,10,1
543,41732,SCHILLING DISTRIBUTING,5,0.05,105,2,588,Fr,9,1
546,94224,SILVER EAGLE DISTRIBUTING,5,0.05,72,2,822,TuFr,10,1
547,40908,PEPIN DISTRIBUTING,2,0.048,155,3,687,Th,14,1
549,13072,L&F DISTRIBUTORS LTD,5,0.043,61,2,874,MoTh,9,1
551,90927,BURKHARDT SALES AND SERVICE,2,0.039,61,3,582,Sa,14,1
553,71702,CHAMPAGNE BEVERAGE,5,0.023,68,2,472,TuFr,9,1
559,71430,VANGUARD DISTRIBUTING,4,0.025,56,2,658,TuFr,9,1
560,32479,OMALLEY BEVERAGE,4,0.049,68,3,643,Fr,13,1
563,10906,DAYTONA BEVERAGES,2,0.03,41,3,618,MoSa,13,1
565,64259,BEN E KEITH,5,0.025,69,2,563,Fr,9,1
566,31325,WORKING DISTRIBUTORS,3,0.016,36,3,604,MoFr,14,1
571,91646,KENTUCKY EAGLE BEER,3,0.037,57,2,564,TuFr,9,1
572,84245,R & K DISTRIBUTORS,5,0.076,69,2,553,TuFr,9,1
573,32441,COUNTY BEVERAGE,4,0.041,61,2,559,TuFr,9,1
574,43926,BETTER BRANDS,2,0.026,72,3,804,Fr,12,1
578,84146,EAGLE DISTRIBUTING,2,0.033,72,3,800,MoTh,12,1
579,90927,BURKHARDT SALES AND SERVICE,2,0.034,40,3,763,TuThSa,13,1
582,10906,DAYTONA BEVERAGES,2,0.07,60,4,1009,MoTuThSa,18,1
585,33917,B & B DISTRIBUTORS,2,0.029,77,2,475,MoTh,10,1
586,43926,BETTER BRANDS,2,0.031,72,2,519,MoTh,9,1
587,4110,BUD OF COOKEVILLE,2,0.024,60,2,264,TuFr,9,1
588,61003,ALBANY BEVERAGE,2,0.036,61,2,331,TuFr,9,1
589,11600,ANHEUSER-BUSCH,3,0.034,61,2,375,MoTh,9,1
591,53929,BUD OF GREENVILLE,3,0.019,86,2,475,Fr,9,1
595,94239,L & F DISTRIBUTORS,5,0.011,72,2,637,TuFr,10,1
598,62630,H & H DISTRIBUTING,4,0.011,56,2,733,TuFr,9,1
600,24202,BUDWEISER DISTRIBUTING,5,0.017,60,3,445,WeFr,12,1
601,34271,STANDARD SALES,5,0.036,72,2,682,TuFr,9,1
602,94216,SILVER EAGLE DISTRIBUTING,5,0.04,68,2,364,TuFr,9,1
603,21270,BREWERS DISTRIBUTING,3,0.047,103,3,492,Sa,13,1
604,30134,ADAMS BEVERAGES,2,0.021,77,2,522,TuFr,9,1
608,24264,STANDARD SALES,5,0.019,72,2,757,TuFr,9,1
610,64225,BEN E KEITH,5,0.012,56,2,448,TuFr,9,1
611,13072,L&F DISTRIBUTORS LTD,5,0.06,61,2,461,MoTh,9,1
612,51264,RONCHETTI DISTRIBUTING,3,0.015,48,2,469,TuFr,9,1
613,10906,DAYTONA BEVERAGES,2,0.036,80,4,744,Sa,18,1
615,61014,EAGLE ROCK OF DALTON,2,0.035,72,2,507,TuTh,9,1
616,33979,ORANGEBURG DISTRIBUTORS,2,0.042,72,2,900,TuFr,9,1
620,74142,HOLSTON DISTRIBUTING,2,0.019,73,2,238,TuFr,9,1
623,70911,SUNCOAST BEVERAGE SALES,2,0.029,40,3,1015,Sa,14,1
624,33916,K W ASSOCIATES,2,0.013,48,2,650,Fr,9,1
