Store Number,A B Region,Store Type,FY 15 OOS Rate
1,5,Supercenter,2.46%
2,5,Supercenter,2.27%
3,2,Supercenter,1.19%
4,5,Supercenter,2.65%
7,5,Supercenter,3.28%
9,4,Supercenter,3.46%
10,5,Supercenter,2.00%
11,5,Supercenter,1.56%
12,5,Supercenter,5.24%
13,4,Supercenter,2.83%
14,4,Supercenter,2.54%
15,4,Supercenter,2.59%
17,4,Supercenter,1.83%
18,5,Supercenter,2.32%
19,4,Supercenter,1.28%
20,4,Supercenter,2.94%
21,4,Supercenter,2.13%
22,5,Supercenter,3.56%
23,5,Supercenter,3.27%
25,4,Supercenter,2.75%
26,4,Supercenter,11.55%
27,4,Supercenter,1.60%
28,5,Supercenter,2.21%
29,4,Supercenter,1.71%
30,4,Supercenter,6.45%
31,5,Supercenter,1.95%
34,4,Supercenter,2.33%
35,4,Supercenter,5.89%
37,4,Supercenter,3.79%
38,5,Supercenter,1.74%
39,4,Supercenter,3.11%
40,4,Supercenter,3.18%
41,5,Supercenter,4.46%
42,4,Supercenter,7.26%
43,4,Supercenter,5.87%
46,4,Supercenter,4.48%
47,5,Supercenter,1.75%
48,4,Supercenter,1.33%
49,5,Supercenter,4.07%
50,5,Supercenter,6.06%
51,4,Supercenter,0.89%
52,5,Supercenter,2.41%
54,5,Supercenter,1.64%
56,4,Supercenter,1.65%
59,4,Supercenter,2.99%
60,4,Supercenter,1.46%
61,4,Supercenter,3.92%
62,5,Supercenter,2.75%
63,5,Supercenter,2.73%
64,2,Supercenter,3.54%
65,4,Supercenter,1.52%
68,5,Supercenter,3.70%
69,4,Supercenter,2.41%
70,5,Supercenter,5.68%
72,4,Supercenter,0.84%
73,5,Supercenter,1.75%
74,5,Supercenter,3.78%
76,5,Supercenter,4.76%
77,5,Supercenter,2.84%
78,4,Supercenter,2.46%
79,4,Supercenter,2.37%
80,4,Supercenter,2.73%
81,5,Supercenter,0.95%
82,4,Supercenter,2.26%
83,5,SUPERCENTER,
85,5,SUPERCENTER,
86,4,Supercenter,4.50%
88,4,Supercenter,1.80%
89,4,Supercenter,1.90%
90,5,Supercenter,3.60%
91,5,Supercenter,5.30%
92,4,Supercenter,2.10%
93,2,Supercenter,1.70%
94,2,Supercenter,4.70%
95,4,Supercenter,2.10%
96,4,Supercenter,4.40%
97,2,Supercenter,2.00%
98,5,Supercenter,2.50%
99,4,Supercenter,2.00%
100,5,Supercenter,1.70%
101,4,Supercenter,2.30%
102,5,Supercenter,3.40%
103,5,Supercenter,8.10%
104,2,Supercenter,3.50%
106,3,Supercenter,3.30%
107,2,Supercenter,2.10%
108,5,Supercenter,2.00%
109,4,Supercenter,3.80%
111,4,Supercenter,1.70%
112,2,Supercenter,2.30%
113,5,Supercenter,6.60%
115,2,Supercenter,5.20%
120,2,Supercenter,1.70%
121,5,Supercenter,1.10%
122,4,Supercenter,2.30%
123,5,Supercenter,4.50%
