Store Number,Delivery.Schedule
1,WeFr
2,MoWeFr
3,MoTh
4,TuFr
7,WeFr
9,MoFr
10,TuFr
11,WeFr
12,TuFr
13,TuFr
14,TuFr
15,TuFr
17,TuFr
18,MoTh
19,MoThFr
20,TuFr
21,TuFr
22,TuFr
23,TuFr
25,MoTh
26,TuFr
27,TuFr
28,TuFr
29,Fr
30,TuTh
31,Fr
32,WeFr
34,Mo
35,MoWeTh
37,MoThFr
38,Th
39,Th
40,TuFr
41,TuFr
42,TuFr
43,MoTh
44,We
46,Th
47,Mo
48,TuFr
49,Th
50,TuFr
51,Fr
52,TuFr
54,TuFr
56,Fr
59,TuFr
60,TuFr
61,TuFr
62,MoFr
63,TuFr
64,TuFr
65,TuFr
68,TuFr
69,TuThFr
70,MoTuFr
72,MoTh
73,TuFr
74,We
76,TuTh
77,MoTh
78,Th
79,TuFr
80,TuFr
81,ThFr
82,MoTu
83,Fr
85,MoFr
86,MoTh
88,Fr
89,TuFr
90,TuFr
91,MoFr
92,Fr
93,TuFr
94,Tu
95,WeFr
96,TuFr
97,MoTh
98,TuTh
99,TuFr
100,WeFr
101,MoTuWeFr
102,TuFr
103,MoTh
104,MoTh
106,MoTh
107,MoThFr
108,TuFr
109,Th
111,TuFr
112,Tu
113,MoTh
115,MoTh
116,TuFr
117,TuFr
120,MoTh
121,TuFr
122,We
123,MoTh
124,TuFr
125,TuWeFr
126,WeFr
129,MoTh
130,Fr
132,Th
134,TuFr
135,Th
136,Th
137,TuFr
138,Th
139,Th
140,TuFr
144,TuFr
145,TuFr
146,TuFr
147,MoFr
148,MoTh
149,TuFr
150,WeFr
151,Tu
152,TuTh
155,TuTh
156,We
158,TuFr
159,Fr
160,TuFr
161,MoTh
162,MoTh
163,TuFr
165,MoTh
166,Th
168,MoTh
170,Th
171,MoTh
172,TuFr
173,TuFr
174,Sa
175,MoTh
177,MoWeFr
178,MoTh
179,We
180,TuFr
182,TuFr
183,MoTh
184,MoTh
185,TuTh
186,TuFr
188,MoTuWeFr
189,TuTh
190,TuFr
192,TuFr
194,TuFr
195,MoTh
196,TuFr
197,TuFr
198,TuFr
199,TuFr
200,TuFr
201,TuFr
203,Fr
204,MoTh
205,TuFr
206,MoTh
207,Th
208,Fr
209,Fr
210,We
211,TuFr
212,MoTh
213,TuFr
214,MoTh
215,MoTh
217,MoTh
218,Th
219,TuFr
220,TuFr
221,TuFr
222,MoWe
225,MoTh
227,TuFr
228,TuFr
230,TuFr
231,TuTh
232,MoTh
233,MoTh
234,MoTh
236,MoTh
237,MoTh
238,TuFr
239,TuFr
240,MoTh
242,TuFr
243,TuThFr
244,We
246,TuFr
247,We
248,TuFr
249,TuFr
250,TuFr
251,TuFr
252,MoFr
253,Th
256,TuFr
257,MoTh
258,MoTh
259,Th
260,TuFr
261,Fr
262,MoTh
264,MoTh
265,TuTh
266,Tu
267,TuFr
268,TuFr
269,TuFr
271,TuFr
272,MoTh
275,MoWeFr
276,TuFr
277,MoTh
278,TuFr
280,Fr
282,TuFr
283,TuFr
284,TuFr
285,Fr
286,TuFr
287,WeFr
288,Tu
289,Mo
290,TuFr
292,Mo
293,TuFr
294,TuFr
295,Fr
297,TuFr
298,TuFr
299,MoTuThFr
300,TuFr
301,Fr
302,TuFr
303,TuFr
304,MoTh
305,TuFr
306,TuFr
307,TuFr
308,TuFr
309,Th
310,Th
311,Tu
312,MoFr
313,Tu
314,TuFr
315,MoTh
316,MoTh
318,TuFr
319,MoTh
320,MoTh
321,MoFr
322,TuFr
324,MoTh
325,TuFr
326,TuFr
327,We
328,TuTh
329,TuFr
330,TuFr
331,TuFr
332,TuFr
334,We
335,TuThFr
337,MoTh
338,TuFr
340,Tu
341,TuTh
342,We
343,Th
344,MoTh
345,TuFr
346,Th
347,Tu
350,WeFr
352,We
354,MoFr
355,MoTh
356,TuFr
357,TuFr
359,TuFr
360,TuFr
361,TuTh
362,Tu
363,MoWeTh
364,TuFr
365,Fr
366,TuFr
368,TuFr
369,WeTh
370,TuTh
371,TuFr
372,MoTh
373,TuFr
374,MoTh
375,Fr
376,TuTh
378,We
379,MoWe
381,TuFr
382,Th
383,TuFr
384,MoTh
385,Th
386,TuFr
387,TuFr
388,WeFr
389,TuFr
390,MoTh
391,MoTh
392,TuFr
393,TuFr
394,MoTh
395,TuFr
396,MoTh
397,TuFr
398,MoTh
399,Tu
400,TuFr
401,Mo
402,Th
403,TuTh
404,MoTh
405,MoFr
406,TuFr
407,TuFr
408,MoTh
409,Fr
410,MoTuThFr
412,TuFr
413,MoTh
414,MoTh
415,Fr
420,MoTuFr
421,TuFr
423,TuFr
424,MoFr
425,WeFr
426,TuFr
427,MoTh
428,TuFr
429,MoTh
431,MoTuThFr
432,MoTh
433,TuFr
434,Th
435,TuFr
436,TuFr
437,TuFr
438,Th
440,MoTh
442,TuFr
443,TuFr
444,MoTh
446,Tu
447,TuTh
448,TuFr
449,TuFr
450,TuFr
451,TuFr
452,TuFr
453,Th
456,TuFr
457,MoTh
458,MoTh
459,Tu
460,Fr
461,TuFr
462,MoTh
463,TuFr
464,TuTh
465,Fr
466,TuFr
467,MoTh
468,MoFr
469,TuFr
470,MoTh
471,MoTh
472,TuFr
473,TuFr
474,WeFr
475,TuFr
476,TuFr
477,MoTh
478,TuFr
479,TuFr
480,TuFr
481,TuFr
482,Fr
483,MoFr
484,Th
485,TuFr
486,TuTh
487,Th
488,Sa
489,TuFr
490,TuFr
491,MoTuFr
492,Fr
493,Fr
494,MoTh
495,MoFr
498,TuFr
499,TuFr
500,Sa
501,MoTh
502,WeFr
503,MoTh
504,MoWeFr
505,TuFr
506,TuFr
507,MoTh
508,TuFr
510,TuFr
511,TuTh
512,TuFrSa
513,MoTh
514,TuFr
515,Th
516,TuFr
517,TuFr
518,Tu
520,Tu
521,MoTh
522,TuFr
523,TuFr
524,MoTh
526,TuFr
527,TuSa
528,Sa
529,TuFr
530,MoFrSa
531,Fr
532,MoTh
533,TuTh
534,Fr
535,TuFr
536,MoTh
537,MoTh
538,WeFr
539,TuFr
540,WeFr
541,MoTh
542,TuTh
543,Fr
544,TuFr
545,MoWeFr
546,TuFr
547,Th
548,Th
549,MoTh
551,Sa
552,MoTh
553,TuFr
554,MoTh
555,MoFr
556,TuFr
557,TuFr
558,Mo
559,TuFr
560,Fr
561,Th
562,Mo
563,MoSa
564,TuFr
565,Fr
566,MoFr
567,TuFr
568,MoTh
571,TuFr
572,TuFr
573,TuFr
574,Fr
575,MoTh
576,TuFr
577,MoWe
578,MoTh
579,TuThSa
580,Fr
581,TuFr
582,MoTuThSa
583,Mo
585,MoTh
586,MoTh
587,TuFr
588,TuFr
589,MoTh
590,MoTh
591,Fr
592,Tu
593,TuFr
594,MoTh
595,TuFr
596,Tu
597,Fr
598,TuFr
599,Mo
600,WeFr
601,TuFr
602,TuFr
603,Sa
604,TuFr
605,TuFr
606,MoTh
607,Mo
608,TuFr
609,TuFr
610,TuFr
611,MoTh
612,TuFr
613,Sa
614,MoTh
615,TuTh
616,TuFr
617,Tu
618,TuFr
619,Tu
620,TuFr
621,TuTh
622,MoTh
623,Sa
624,Fr
625,MoTh
627,TuTh
629,MoWeFr
631,MoTh
633,TuFr
634,Fr
635,TuFr
636,Fr
637,WeFr
638,Tu
639,MoWeFr
640,MoTh
641,MoTh
642,Fr
643,Fr
644,TuFr
645,WeFr
646,TuFr
647,TuFr
648,Tu
649,Sa
650,MoTh
651,TuFr
652,MoTh
653,MoTh
655,TuFr
656,MoTh
657,TuFr
658,MoTh
659,MoTh
660,MoFr
661,TuFr
662,TuFr
663,TuFr
664,TuFr
666,TuThSa
667,MoTh
668,TuFr
669,TuTh
670,MoWeFr
671,MoTh
672,MoTh
673,TuFr
674,TuFr
675,MoTuThFr
676,Mo
677,TuFr
678,MoTh
680,Mo
681,Fr
682,MoTh
683,TuFr
684,TuFr
685,MoTh
686,TuTh
687,MoTh
688,TuFr
689,Fr
690,MoTh
691,WeFr
692,Fr
694,MoFr
695,Fr
696,TuFr
697,Sa
698,MoTh
699,WeFr
700,MoFr
701,TuFr
702,MoTh
703,MoTh
705,Sa
706,Mo
707,TuFr
708,MoFr
709,TuFr
