Store Number,Average Deliveries Per Week,Average Cases Delivered Per Week
1,2,467
2,3,495
3,2,308
4,2,442
7,2,361
9,2,373
10,3,545
11,3,673
12,2,403
13,2,305
14,3,500
15,2,457
17,2,415
18,2,338
19,2,690
20,2,512
21,2,535
22,2,414
23,2,301
25,2,313
26,2,77
27,2,310
28,2,328
29,3,782
30,2,272
31,4,384
32,2,387
34,3,374
35,3,258
37,3,466
38,2,186
39,1,126
40,2,480
41,2,465
42,2,117
43,2,169
44,1,82
46,1,344
47,5,358
48,2,289
49,2,201
50,2,267
51,3,332
52,3,536
54,2,387
56,1,257
59,2,419
60,3,767
61,2,517
62,3,284
63,2,336
64,2,257
65,2,518
68,2,279
69,3,974
70,4,464
72,2,184
73,2,349
74,1,117
76,2,227
77,2,432
78,1,332
79,2,448
80,2,253
81,2,207
82,4,461
83,2,908
85,2,92
86,2,390
88,1,199
89,2,720
90,2,391
91,2,224
92,2,298
93,2,301
94,2,468
95,3,357
96,2,612
97,2,284
98,2,265
99,2,424
100,3,413
101,4,612
102,2,265
103,2,629
104,2,319
106,2,230
107,4,184
108,2,331
109,1,397
111,2,148
112,2,438
113,2,397
115,2,174
116,2,193
117,2,131
120,2,344
121,2,333
122,3,406
123,2,452
124,2,341
125,5,511
126,2,305
129,2,479
130,3,416
132,1,225
134,2,314
135,1,387
136,1,113
137,2,562
138,2,472
139,2,286
140,3,671
144,2,691
145,2,236
146,2,215
147,2,512
148,2,971
149,2,228
150,2,400
151,3,518
152,2,674
155,2,221
156,1,134
158,2,264
159,3,450
160,2,554
161,3,191
162,2,238
163,2,689
165,2,669
166,1,224
168,2,414
170,1,374
171,2,412
172,2,814
173,2,241
174,3,847
175,2,282
177,5,387
178,2,282
179,2,352
180,2,793
182,2,299
183,2,180
184,2,612
185,2,1005
186,2,115
188,5,588
189,2,345
190,2,300
192,2,268
194,2,711
195,2,563
196,2,305
197,2,401
198,2,529
199,2,456
200,2,444
201,2,482
203,3,342
204,2,241
205,2,403
206,2,471
207,1,236
208,1,16
209,3,430
210,1,148
211,2,373
212,2,367
213,2,533
214,2,660
215,2,36
217,2,402
218,1,153
219,2,751
220,2,558
221,2,339
222,2,430
225,2,359
227,2,364
228,2,533
230,2,300
231,2,319
232,2,102
233,2,311
234,2,767
236,2,479
237,2,291
238,2,276
239,2,167
240,2,392
242,2,95
243,3,884
244,2,313
246,2,325
247,1,86
248,2,386
249,2,947
250,2,758
251,2,883
252,2,275
253,1,417
256,2,624
257,2,251
258,2,313
259,2,572
260,2,676
261,3,573
262,2,331
264,2,416
265,2,831
266,2,366
267,2,274
268,2,340
269,2,400
271,2,354
272,2,241
275,3,839
276,2,206
277,2,506
278,2,347
280,2,295
282,2,379
283,2,120
284,2,546
285,3,979
286,2,667
287,3,596
288,2,533
289,2,154
290,2,443
292,2,265
293,2,168
294,2,265
295,3,626
297,2,823
298,2,521
299,4,415
300,2,264
301,3,436
302,2,336
303,2,214
304,2,323
305,2,243
306,2,593
307,2,343
308,2,313
309,2,489
310,2,522
311,2,226
312,2,305
313,2,656
314,2,268
315,2,199
316,2,366
318,2,531
319,2,433
320,2,109
321,3,647
322,2,463
324,2,312
325,2,477
326,2,69
327,1,49
328,2,600
329,2,328
330,2,460
331,2,409
332,2,307
334,1,377
335,3,366
337,2,215
338,2,174
340,4,516
341,2,156
342,1,78
343,2,439
344,2,444
345,2,637
346,2,73
347,2,93
350,2,572
352,1,196
354,2,311
355,2,574
356,2,736
357,2,489
359,2,360
360,2,310
361,2,663
362,1,234
363,3,486
364,2,613
365,2,331
366,2,142
368,2,191
369,2,132
370,2,89
371,2,520
372,2,220
373,2,168
374,2,313
375,2,162
376,2,468
378,1,60
379,2,423
381,2,489
382,2,104
383,2,491
384,2,349
385,1,131
386,2,454
387,2,318
388,3,382
389,2,541
390,2,230
391,2,310
392,2,248
393,2,379
394,2,347
395,2,494
396,2,414
397,2,458
398,2,382
399,2,260
400,2,560
401,2,252
402,2,455
403,2,445
404,2,628
405,2,451
406,2,387
407,2,542
408,2,589
409,2,329
410,4,395
412,2,640
413,3,889
414,3,453
415,2,386
420,3,585
421,2,611
423,2,303
424,2,591
425,2,347
426,2,421
427,2,650
428,2,312
429,2,590
431,4,378
432,3,446
433,2,384
434,2,463
435,2,741
436,2,638
437,2,632
438,1,172
440,2,487
442,2,465
