Store.Number,Whlsr..,Whlsr.Name,A.B.Region,FY.15.OOS.Rate,Total.Footage,Average.Deliveries.Per.Week,Average.Cases.Delivered.Per.Week,Delivery.Schedule,Average.Deliveries.Per.Month,cluster
37,22432,SOARING EAGLE DISTRIBUTING,4,0.0379,56,3,466,MoThFr,13,1
40,12448,GOLDEN EAGLE DISTRIBUTING,4,0.0318,56,2,480,TuFr,9,1
94,54153,BUD OF MEMPHIS,2,0.047,72,2,468,Tu,9,1
96,32441,COUNTY BEVERAGE,4,0.044,72,2,612,TuFr,9,1
163,84257,R & K DISTRIBUTORS,5,0.066,72,2,689,TuFr,9,1
184,32441,COUNTY BEVERAGE,4,0.079,68,2,612,MoTh,10,1
194,94213,WISMER DISTRIBUTING,5,0.061,61,2,711,TuFr,10,1
217,64247,BEN E KEITH,5,0.033,60,2,402,MoTh,8,1
228,64225,BEN E KEITH,5,0.031,72,2,533,TuFr,9,1
234,32464,NORTH K C BEVERAGE,4,0.038,81,2,767,MoTh,9,1
236,94285,STEVENSON BEER DISTRIBUTING,5,0.041,55,2,479,MoTh,9,1
249,44207,DEL PAPA DISTRIBUTING,5,0.034,48,2,947,TuFr,9,1
260,64221,BEN E KEITH,5,0.049,72,2,676,TuFr,9,1
286,64221,BEN E KEITH,5,0.035,69,2,667,TuFr,9,1
287,10121,BIRMINGHAM BUD DISTRIBUTING,2,0.056,56,3,596,WeFr,13,1
295,22438,GREY EAGLE DISTRIBUTORS,4,0.035,48,3,626,Fr,11,1
306,10139,GADSDEN BUD DISTR CO INC,2,0.039,40,2,593,TuFr,9,1
309,41732,SCHILLING DISTRIBUTING,5,0.045,73,2,489,Th,9,1
322,64210,JACK HILLIARD DIST,5,0.044,56,2,463,TuFr,10,1
325,32464,NORTH K C BEVERAGE,4,0.031,60,2,477,TuFr,9,1
330,54294,DEL PAPA DISTRIBUTING,5,0.039,64,2,460,TuFr,10,1
331,51733,SOUTHWEST BEVERAGE,5,0.031,80,2,409,TuFr,9,1
344,54294,DEL PAPA DISTRIBUTING,5,0.035,72,2,444,MoTh,9,1
345,64259,BEN E KEITH,5,0.056,72,2,637,TuFr,10,1
356,177,ADAMS BEVERAGES,2,0.031,61,2,736,TuFr,9,1
361,21228,ILLINOIS DISTRIBUTING,3,0.031,76,2,663,TuTh,9,1
363,32408,KINKHORST BRUNSWICK,4,0.044,60,3,486,MoWeTh,13,1
376,81774,EAGLE DIST OF SHREVEPORT,5,0.059,72,2,468,TuTh,9,1
386,51733,SOUTHWEST BEVERAGE,5,0.043,68,2,454,TuFr,9,1
400,94216,SILVER EAGLE DISTRIBUTING,5,0.131,108,2,560,TuFr,10,1
408,44207,DEL PAPA DISTRIBUTING,5,0.039,61,2,589,MoTh,10,1
412,64259,BEN E KEITH,5,0.053,48,2,640,TuFr,9,1
424,10168,BAMA BUDWEISER OF SYLACAUGA,2,0.031,48,2,591,MoFr,11,1
426,64247,BEN E KEITH,5,0.033,61,2,421,TuFr,9,1
432,10168,BAMA BUDWEISER OF SYLACAUGA,2,0.038,60,3,446,MoTh,12,1
437,94211,MIKE HOPKINS,5,0.035,60,2,632,TuFr,9,1
442,54215,L & F DIST OF CORPUS CHRISTI,5,0.07,68,2,465,TuFr,9,1
449,44207,DEL PAPA DISTRIBUTING,5,0.052,69,2,482,TuFr,9,1
458,54215,L & F DIST OF CORPUS CHRISTI,5,0.039,60,2,573,MoTh,9,1
461,44276,SILVER EAGLE DISTRIBUTORS,5,0.041,61,2,1093,TuFr,11,1
463,54209,L & F DISTRIBUTING,5,0.039,72,2,480,TuFr,10,1
492,31325,WORKING DISTRIBUTORS,3,0.031,60,2,439,Fr,8,1
494,81049,LA GRANGE GROCERY,2,0.053,68,2,476,MoTh,9,1
513,34271,STANDARD SALES,5,0.044,41,2,734,MoTh,10,1
524,54209,L & F DISTRIBUTING,5,0.038,56,2,414,MoTh,9,1
531,41732,SCHILLING DISTRIBUTING,5,0.04,65,2,434,Fr,9,1
532,31712,MOCKLER BEVERAGE,5,0.038,81,2,702,MoTh,11,1
533,41732,SCHILLING DISTRIBUTING,5,0.059,73,2,428,TuTh,9,1
538,90913,BURKHARDT SALES AND SERVICE,2,0.044,64,2,467,WeFr,9,1
540,71741,BUQUET DISTRIBUTING,5,0.032,40,2,577,WeFr,10,1
541,71702,CHAMPAGNE BEVERAGE,5,0.043,72,2,535,MoTh,10,1
542,71741,BUQUET DISTRIBUTING,5,0.031,84,2,492,TuTh,10,1
543,41732,SCHILLING DISTRIBUTING,5,0.05,105,2,588,Fr,9,1
546,94224,SILVER EAGLE DISTRIBUTING,5,0.05,72,2,822,TuFr,10,1
547,40908,PEPIN DISTRIBUTING,2,0.048,155,3,687,Th,14,1
549,13072,L&F DISTRIBUTORS LTD,5,0.043,61,2,874,MoTh,9,1
551,90927,BURKHARDT SALES AND SERVICE,2,0.039,61,3,582,Sa,14,1
560,32479,OMALLEY BEVERAGE,4,0.049,68,3,643,Fr,13,1
571,91646,KENTUCKY EAGLE BEER,3,0.037,57,2,564,TuFr,9,1
572,84245,R & K DISTRIBUTORS,5,0.076,69,2,553,TuFr,9,1
573,32441,COUNTY BEVERAGE,4,0.041,61,2,559,TuFr,9,1
578,84146,EAGLE DISTRIBUTING,2,0.033,72,3,800,MoTh,12,1
579,90927,BURKHARDT SALES AND SERVICE,2,0.034,40,3,763,TuThSa,13,1
582,10906,DAYTONA BEVERAGES,2,0.07,60,4,1009,MoTuThSa,18,1
586,43926,BETTER BRANDS,2,0.031,72,2,519,MoTh,9,1
601,34271,STANDARD SALES,5,0.036,72,2,682,TuFr,9,1
603,21270,BREWERS DISTRIBUTING,3,0.047,103,3,492,Sa,13,1
611,13072,L&F DISTRIBUTORS LTD,5,0.06,61,2,461,MoTh,9,1
613,10906,DAYTONA BEVERAGES,2,0.036,80,4,744,Sa,18,1
615,61014,EAGLE ROCK OF DALTON,2,0.035,72,2,507,TuTh,9,1
616,33979,ORANGEBURG DISTRIBUTORS,2,0.042,72,2,900,TuFr,9,1
625,43926,BETTER BRANDS,2,0.038,56,2,591,MoTh,9,1
631,53929,BUD OF GREENVILLE,2,0.033,56,2,456,MoTh,9,1
634,33916,K W ASSOCIATES,2,0.039,47,2,637,Fr,9,1
637,62630,H & H DISTRIBUTING,4,0.032,60,2,421,WeFr,9,1
643,43926,BETTER BRANDS,2,0.032,84,3,1009,Fr,12,1
645,22659,NORFOLK BEVERAGE,4,0.047,72,2,980,WeFr,11,1
651,44207,DEL PAPA DISTRIBUTING,5,0.043,72,2,452,TuFr,9,1
660,10125,SHOALS DISTRIBUTING,2,0.053,72,2,468,MoFr,10,1
661,10143,TURNER BEVERAGE,2,0.031,88,2,601,TuFr,10,1
666,40920,BERNIE LITTLE DIST INC-SEBRIN,2,0.037,61,3,1012,TuThSa,14,1
673,4109,BUD OF CLARKSVILLE,2,0.032,72,2,496,TuFr,9,1
681,10139,GADSDEN BUD DISTR CO INC,2,0.039,48,3,605,Fr,13,1
697,30958,TRI-EAGLE SALES,2,0.046,145,3,513,Sa,13,1
699,52311,A&B DISTRIBUTING,2,0.054,76,2,496,WeFr,9,1
706,40908,PEPIN DISTRIBUTING,2,0.04,41,3,905,Mo,13,1
715,10194,GREENE BEVERAGE,2,0.037,40,3,711,TuThFr,13,1
718,40919,BERNIE LITTLE DISTRIBUTORS,2,0.12,168,5,642,TuSa,21,1
725,40919,BERNIE LITTLE DISTRIBUTORS,2,0.064,61,5,728,FrSa,21,1
726,177,ADAMS BEVERAGES,2,0.057,56,2,660,TuFr,9,1
728,23912,SOUTHERN EAGLE OF SC,2,0.039,72,2,481,TuFr,9,1
731,10194,GREENE BEVERAGE,2,0.072,64,2,517,TuFr,9,1
734,30134,ADAMS BEVERAGES,2,0.035,88,2,464,TuFr,9,1
744,94240,SILVER EAGLE DISTRIBUTORS,5,0.058,61,2,535,TuFr,9,1
752,94240,SILVER EAGLE DISTRIBUTORS,5,0.038,52,2,528,MoTh,9,1
765,44276,SILVER EAGLE DISTRIBUTORS,5,0.032,69,2,431,TuFr,10,1
