Store.Number,Whlsr..,Whlsr.Name,A.B.Region,FY.15.OOS.Rate,Total.Footage,Average.Deliveries.Per.Week,Average.Cases.Delivered.Per.Week,Delivery.Schedule,Average.Deliveries.Per.Month,cluster,Type of Segment
818,20948,THE LEWIS BEAR COMPANY,2,0.014,241,5,2784,MoWeFr,21,1,Non-prob
1362,20948,THE LEWIS BEAR COMPANY,2,0.019,174,5,1631,TuWeFr,20,1,Non-prob
1548,11206,CITY BEVERAGE MARKHAM,3,0.026,72,3,1378,MoWeFr,11,1,Non-prob
3119,20948,THE LEWIS BEAR COMPANY,2,0.018,71,4,1345,TuThFr,19,1,Non-prob
5399,41231,L R B DISTRIBUTORS,3,0.03,73,2,1345,WeFr,9,1,Non-prob
1139,91646,KENTUCKY EAGLE BEER,3,0.021,65,4,1318,TuFr,17,1,Non-prob
1370,10202,ROMER BEVERAGE COMPANY,7,0.02,61,3,1203,Fr,11,1,Non-prob
5420,10922,CITY BEVERAGES,2,0.016,203,3,1180,MoWeFr,14,1,Non-prob
468,10388,EAGLE DIST OF TEXARKANA,5,0.008,73,6,1162,MoFr,26,1,Non-prob
4325,30295,SUN VALLEY BEVERAGE,7,0.024,76,2,1133,TuFr,9,1,Non-prob
1636,73360,MAGIC CITY BEVERAGE,4,0.022,85,2,1101,MoFr,9,1,Non-prob
504,94231,DEL PAPA DISTRIBUTING,5,0.028,68,3,1073,MoWeFr,14,1,Non-prob
778,40925,PEACE RIVER DISTRIBUTING,2,0.024,117,3,1055,Sa,13,1,Non-prob
3387,40940,GOLD COAST EAGLE,2,0.007,133,4,1055,TuThFrSa,19,1,Non-prob
1358,23912,SOUTHERN EAGLE OF SC,2,0.028,76,2,1019,Fr,9,1,Non-prob
3645,24264,STANDARD SALES,5,0.025,76,2,1017,TuFr,9,1,Non-prob
623,70911,SUNCOAST BEVERAGE SALES,2,0.029,40,3,1015,Sa,14,1,Non-prob
1676,31301,HEDINGER BEVERAGE,3,0.022,64,2,1009,TuFr,9,1,Non-prob
185,64247,BEN E KEITH,5,0.016,61,2,1005,TuTh,9,1,Non-prob
1657,62220,COLLEGE CITY BEVERAGE,4,0.025,77,2,1001,TuFr,9,1,Non-prob
769,40940,GOLD COAST EAGLE,2,0.02,151,4,986,TuThFrSa,18,1,Non-prob
285,94285,STEVENSON BEER DISTRIBUTING,5,0.027,60,3,979,Fr,13,1,Non-prob
5612,94240,SILVER EAGLE DIST LP,5,0.024,60,3,979,Sa,13,1,Non-prob
69,22442,H W HERRELL DISTRIBUTING,4,0.0241,72,3,974,TuThFr,13,1,Non-prob
3518,4249,L & F DISTRIBUTORS,5,0.026,65,2,973,MoTh,9,1,Non-prob
148,64230,BEN E KEITH,5,0.011,73,2,971,MoTh,10,1,Non-prob
870,31301,HEDINGER BEVERAGE,3,0.028,56,3,961,MoFr,12,1,Non-prob
2051,10202,ROMER BEVERAGE COMPANY,7,0.018,76,2,961,TuFr,9,1,Non-prob
721,40925,PEACE RIVER DISTRIBUTING,2,0.024,68,4,951,Sa,17,1,Non-prob
1702,10903,CARROLL DISTRIBUTING,2,0.03,175,3,936,Fr,13,1,Non-prob
2777,10256,GOLDEN EAGLE DISTRIBUTORS,7,0.025,61,2,932,TuFr,9,1,Non-prob
1341,31325,WORKING DISTRIBUTORS,3,0.024,40,4,931,MoFr,15,1,Non-prob
2512,10261,HENSLEY & CO PHOENIX,7,0.027,56,2,921,WeFr,9,1,Non-prob
3751,10257,GOLDEN EAGLE DISTRIBUTORS,7,0.026,76,2,920,TuFr,9,1,Non-prob
2358,62102,HURON DISTRIBUTORS,3,0.018,77,4,919,Fr,18,1,Non-prob
649,10903,CARROLL DISTRIBUTING,2,0.018,72,3,918,Sa,13,1,Non-prob
5493,94239,L & F DISTRIBUTORS,5,0.017,76,3,916,TuFr,11,1,Non-prob
1470,52211,MADISON BOTTLING,4,0.018,101,2,904,TuFr,9,1,Non-prob
767,70923,NORTH FLORIDA SALES,2,0.024,72,3,902,TuThFr,14,1,Non-prob
1609,42247,DICK DISTRIBUTING,4,0.028,89,2,899,TuFr,10,1,Non-prob
413,94239,L & F DISTRIBUTORS,5,0.026,48,3,889,MoTh,11,1,Non-prob
243,32465,KREY DISTRIBUTING COMPANY,4,0.015,52,3,884,TuThFr,15,1,Non-prob
806,3044,PREMIER DISTRIBUTING,5,0.024,92,2,884,TuTh,9,1,Non-prob
1004,40940,GOLD COAST EAGLE,2,0.012,48,5,884,TuFrSa,20,1,Non-prob
251,84245,R & K DISTRIBUTORS,5,0.02,56,2,883,TuFr,9,1,Non-prob
987,70911,SUNCOAST BEVERAGE SALES,2,0.022,72,3,881,Sa,14,1,Non-prob
1381,10261,HENSLEY & CO PHOENIX,7,0.007,61,2,874,WeSa,9,1,Non-prob
2928,23912,SOUTHERN EAGLE OF SC,2,0.026,53,2,868,TuFr,9,1,Non-prob
5261,22450,MISSOURI EAGLE,4,0.008,132,3,867,TuTh,11,1,Non-prob
865,44266,TRI-CITY DISTRIBUTORS,5,0.013,72,2,864,TuFr,9,1,Non-prob
901,44266,TRI-CITY DISTRIBUTORS,5,0.011,60,2,864,TuFr,9,1,Non-prob
1218,10257,GOLDEN EAGLE DISTRIBUTORS,7,0.016,68,2,862,TuFr,9,1,Non-prob
5455,10903,CARROLL DISTRIBUTING,2,0.025,56,3,861,Fr,13,1,Non-prob
1483,24097,JOHN A CONKLING DIST,4,0.006,40,2,860,Mo,9,1,Non-prob
3778,34911,CASPER BEVERAGE,6,0.026,81,2,858,MoTh,9,1,Non-prob
174,10903,CARROLL DISTRIBUTING,2,0.028,56,3,847,Sa,13,1,Non-prob
462,94231,DEL PAPA DISTRIBUTING,5,0.029,61,2,844,MoTh,9,1,Non-prob
1514,22442,H W HERRELL DISTRIBUTING,4,0.028,44,3,844,TuThFr,13,1,Non-prob
1474,30295,SUN VALLEY BEVERAGE,7,0.027,61,2,843,TuFr,9,1,Non-prob
1604,94073,EAGLE SALES OF THE BLACK HILLS,4,0.013,61,3,843,WeFr,13,1,Non-prob
275,94285,STEVENSON BEER DISTRIBUTING,5,0.023,56,3,839,MoWeFr,13,1,Non-prob
3370,40940,GOLD COAST EAGLE,2,0.009,125,3,836,TuThFr,14,1,Non-prob
265,64230,BEN E KEITH,5,0.018,56,2,831,TuTh,9,1,Non-prob
1146,23912,SOUTHERN EAGLE OF SC,2,0.02,76,2,829,TuFr,9,1,Non-prob
936,21221,DONNEWALD DISTRIBUTING,3,0.019,33,2,828,TuFr,9,1,Non-prob
1230,10256,GOLDEN EAGLE DISTRIBUTORS,7,0.014,69,2,828,TuFr,9,1,Non-prob
2016,94681,TRIPP DISTRIBUTING,6,0.014,69,3,824,MoWeFr,14,1,Non-prob
705,20922,WAYNE DENSCH,2,0.011,68,3,820,Sa,14,1,Non-prob
5872,20948,THE LEWIS BEAR COMPANY,2,0.024,57,4,819,Fr,17,1,Non-prob
500,44223,L & F DISTRIBUTORS,5,0.02,65,3,817,Sa,13,1,Non-prob
1068,10903,CARROLL DISTRIBUTING,2,0.022,56,3,817,Sa,13,1,Non-prob
810,1461,KABRICK DIST CO MASON CITY,4,0.028,65,3,815,TuTh,11,1,Non-prob
2522,62160,PIKE DISTRIBUTORS,3,0.026,68,2,815,MoFr,10,1,Non-prob
172,22438,GREY EAGLE DISTRIBUTORS,4,0.026,68,2,814,TuFr,9,1,Non-prob
1364,10202,ROMER BEVERAGE COMPANY,7,0.026,60,2,812,TuFr,9,1,Non-prob
3320,94233,L & F DISTRIBUTORS,5,0.015,76,2,810,MoTh,10,1,Non-prob
512,44223,L & F DISTRIBUTORS,5,0.019,76,3,809,TuFrSa,13,1,Non-prob
2708,60400,ANHEUSER-BUSCH,7,0.024,76,2,805,WeFr,9,1,Non-prob
574,43926,BETTER BRANDS,2,0.026,72,3,804,Fr,12,1,Non-prob
817,10922,CITY BEVERAGES,2,0.029,197,3,803,TuSa,13,1,Non-prob
2616,32465,KREY DISTRIBUTING COMPANY,4,0.007,71,4,801,MoTuWeFr,17,1,Non-prob
1759,74563,M PRICE DISTRIBUTING,1,0.016,41,2,800,TuFr,10,1,Non-prob
2715,22303,REX DISTRIBUTING,2,0.017,81,3,800,MoWeFr,14,1,Non-prob
3833,10261,HENSLEY & CO PHOENIX,7,0.012,76,2,799,TuFr,9,1,Non-prob
5369,10261,HENSLEY & CO PHOENIX,7,0.013,76,2,794,WeFr,9,1,Non-prob
180,84257,R & K DISTRIBUTORS,5,0.012,48,2,793,TuFr,9,1,Non-prob
670,10121,BIRMINGHAM BUD DISTRIBUTING,2,0.02,73,3,791,MoWeFr,13,1,Non-prob
29,42446,N H SCHEPPERS,4,0.0171,88,3,782,Fr,13,1,Non-prob
1222,20950,THE LEWIS BEAR COMPANY,2,0.023,65,4,781,MoFr,17,1,Non-prob
3216,74562,HOFFMAN BEVERAGE,1,0.012,65,3,781,MoWeFr,13,1,Non-prob
4543,30248,ROMER BEVERAGE ,7,0.015,80,2,780,TuFr,9,1,Non-prob
2253,10475,A-B SALES OF SAN DIEGO,7,0.018,48,2,775,TuFr,9,1,Non-prob
3332,83167,EAGLE BEVERAGE,1,0.026,32,4,773,Fr,17,1,Non-prob
700,30183,BAMA BUD OF SELMA,2,0.017,32,5,769,MoFr,21,1,Non-prob
60,32465,KREY DISTRIBUTING COMPANY,4,0.0146,48,3,767,TuFr,15,1,Non-prob
919,20950,THE LEWIS BEAR COMPANY,2,0.021,72,3,767,Fr,13,1,Non-prob
3439,20950,THE LEWIS BEAR COMPANY,2,0.013,48,3,765,TuFr,13,1,Non-prob
1994,63165,PLATTSBURGH DISTRIBUTING,1,0.028,72,2,762,MoTh,10,1,Non-prob
5035,40919,BERNIE LITTLE DISTRIBUTORS,2,0.012,148,4,762,Sa,17,1,Non-prob
1355,43231,R A JEFFREYS DISTRIBUTING,2,0.029,61,3,761,Fr,13,1,Non-prob
1118,64221,BEN E KEITH,5,0.027,64,2,760,TuFr,9,1,Non-prob
1132,33245,R H BARRINGER,2,0.015,57,2,760,MoTh,9,1,Non-prob
250,42482,COUNTY DISTRIBUTING,4,0.019,48,2,758,TuFr,9,1,Non-prob
1369,10216,GOLDEN EAGLE DISTRIBUTORS,7,0.019,48,2,758,TuFr,9,1,Non-prob
608,24264,STANDARD SALES,5,0.019,72,2,757,TuFr,9,1,Non-prob
2923,72508,INTERMOUNTAIN DISTRIBUTING,6,0.027,61,5,757,Sa,21,1,Non-prob
689,91646,KENTUCKY EAGLE BEER,3,0.024,48,3,756,Fr,13,1,Non-prob
1853,60400,ANHEUSER-BUSCH,7,0.028,64,2,754,WeFr,9,1,Non-prob
219,42482,COUNTY DISTRIBUTING,4,0.019,56,2,751,TuFr,9,1,Non-prob
2549,94682,KING BEVERAGE,6,0.015,60,2,751,TuFr,9,1,Non-prob
1298,43231,R A JEFFREYS DISTRIBUTING,2,0.022,81,2,749,TuFr,9,1,Non-prob
1538,4091,BEAL DISTRIBUTING,4,0.019,56,2,748,TuTh,9,1,Non-prob
1549,10261,HENSLEY & CO PHOENIX,7,0.028,61,2,745,WeSa,9,1,Non-prob
447,44276,SILVER EAGLE DISTRIBUTORS,5,0.022,77,2,744,TuTh,11,1,Non-prob
5313,32465,KREY DISTRIBUTING COMPANY,4,0.013,56,3,743,TuThFr,15,1,Non-prob
435,21221,DONNEWALD DISTRIBUTING,3,0.017,48,2,741,TuFr,9,1,Non-prob
868,13072,L&F DISTRIBUTORS LTD,5,0.016,61,2,741,TuFr,9,1,Non-prob
2656,3082,PREMIER DISTRIBUTING,5,0.027,24,2,739,TuFr,9,1,Non-prob
1134,20948,THE LEWIS BEAR COMPANY,2,0.008,44,3,737,MoTh,15,1,Non-prob
973,40979,SOUTHERN EAGLE,2,0.03,55,3,736,TuSa,13,1,Non-prob
2249,84610,KING BEVERAGE,6,0.014,61,2,735,TuFr,9,1,Non-prob
904,20162,BUDWEISER-BUSCH DIST,2,0.023,64,3,734,TuWeFr,15,1,Non-prob
598,62630,H & H DISTRIBUTING,4,0.011,56,2,733,TuFr,9,1,Non-prob
516,64259,BEN E KEITH,5,0.007,48,2,732,TuFr,9,1,Non-prob
