Store.Number,Whlsr..,Whlsr.Name,A.B.Region,FY.15.OOS.Rate,Total.Footage,Average.Deliveries.Per.Week,Average.Cases.Delivered.Per.Week,Delivery.Schedule,Average.Deliveries.Per.Month,cluster
1936,72175,MARCHETTI DISTRIBUTING,3,0.059,100,5,1680,MoFr,21,1
1565,73394,DELANEY DISTRIBUTORS,4,0.049,89,4,1344,We,17,1
5299,10922,CITY BEVERAGES,2,0.039,72,3,1310,MoWeFr,14,1
3763,44223,L & F DISTRIBUTORS,5,0.035,72,3,1074,Tu,13,1
643,43926,BETTER BRANDS,2,0.032,84,3,1009,Fr,12,1
5087,43926,BETTER BRANDS,2,0.043,72,3,1005,Fr,12,1
645,22659,NORFOLK BEVERAGE,4,0.047,72,2,980,WeFr,11,1
1555,30414,ALFORD DISTRIBUTING,7,0.043,73,2,978,TuFr,10,1
3136,44223,DESERT EAGLE DISTRIBUTING,5,0.043,84,3,926,TuFrSa,15,1
1326,62630,H & H DISTRIBUTING,4,0.039,76,2,903,WeFr,9,1
616,33979,ORANGEBURG DISTRIBUTORS,2,0.042,72,2,900,TuFr,9,1
2142,72857,BELLAVANCE BEVERAGE,1,0.041,92,2,881,TuFr,10,1
2014,62155,FABIANO BROTHERS,3,0.035,96,3,841,Fr,15,1
5147,64221,BEN E KEITH,5,0.033,92,2,832,TuFr,9,1
2612,44223,L & F DISTRIBUTORS,5,0.033,72,3,829,Sa,14,1
546,94224,SILVER EAGLE DISTRIBUTING,5,0.05,72,2,822,TuFr,10,1
1149,20282,III COUNTIES DISTRIBUTING,7,0.081,76,3,821,MoFr,14,1
1382,53929,BUD OF GREENVILLE,2,0.061,72,2,812,Fr,9,1
578,84146,EAGLE DISTRIBUTING,2,0.033,72,3,800,MoTh,12,1
4332,10922,CITY BEVERAGES,2,0.05,76,3,791,TuSa,13,1
234,32464,NORTH K C BEVERAGE,4,0.038,81,2,767,MoTh,9,1
1611,12167,EARL SMITH DISTRIBUTING,3,0.071,76,2,766,TuFr,9,1
1542,72118,HURON DISTRIBUTORS,3,0.033,96,2,750,TuFr,9,1
613,10906,DAYTONA BEVERAGES,2,0.036,80,4,744,Sa,18,1
3626,53296,R H BARRINGER,2,0.039,76,2,742,MoTh,9,1
1391,10906,DAYTONA BEVERAGES,2,0.053,73,3,738,MoThSa,14,1
1313,44276,SILVER EAGLE DISTRIBUTORS,5,0.032,84,2,711,TuFr,9,1
1533,10261,HENSLEY & CO PHOENIX,7,0.034,76,2,711,WeSa,9,1
2724,94240,SILVER EAGLE DISTRIBUTORS,5,0.039,84,2,709,TuFr,10,1
1834,63658,WESTERN BEVERAGE,6,0.046,77,2,706,TuFr,9,1
532,31712,MOCKLER BEVERAGE,5,0.038,81,2,702,MoTh,11,1
2951,70400,ANHEUSER-BUSCH,7,0.043,76,3,701,Fr,15,1
1660,70400,ANHEUSER-BUSCH,7,0.052,72,4,700,TuFr,16,1
1104,40915,GREAT BAY DISTRIBUTORS,2,0.035,80,3,696,Sa,13,1
1327,11356,NORTH VERNON BEVERAGE,3,0.036,72,2,695,Fr,9,1
163,84257,R & K DISTRIBUTORS,5,0.066,72,2,689,TuFr,9,1
2950,70400,ANHEUSER-BUSCH,7,0.037,80,3,684,We,14,1
5745,33917,B & B DISTRIBUTORS,2,0.032,72,2,683,TuFr,9,1
601,34271,STANDARD SALES,5,0.036,72,2,682,TuFr,9,1
260,64221,BEN E KEITH,5,0.049,72,2,676,TuFr,9,1
2537,80453,FOOTHILL DISTRIBUTING,7,0.041,88,3,673,TuThSa,14,1
361,21228,ILLINOIS DISTRIBUTING,3,0.031,76,2,663,TuTh,9,1
3106,44276,SILVER EAGLE DISTRIBUTORS,5,0.032,96,2,656,TuFr,10,1
5165,94233,L & F DISTRIBUTORS,5,0.037,84,2,654,MoTh,9,1
1664,43231,R A JEFFREYS DISTRIBUTING,2,0.036,72,2,652,TuTh,10,1
3591,94216,SILVER EAGLE DISTRIBUTING,5,0.031,85,2,650,TuFr,9,1
1297,30958,TRI-EAGLE SALES,2,0.032,93,5,642,Sa,21,1
1624,50410,ADVANCE BEVERAGE CO INC,7,0.052,72,3,641,TuFr,11,1
2079,52171,GRIFFIN BEVERAGE,3,0.04,81,4,639,Mo,18,1
345,64259,BEN E KEITH,5,0.056,72,2,637,TuFr,10,1
1186,44207,DEL PAPA DISTRIBUTING,5,0.046,76,2,630,TuFr,9,1
