Store.Number,A.B.Region,FY.15.OOS.Rate,Total.Footage,Average.Deliveries.Per.Week,Average.Cases.Delivered.Per.Week,Delivery.Schedule,Average.Deliveries.Per.Month,cluster
37,4,0.0379,56,3,466,MoThFr,13,1
40,4,0.0318,56,2,480,TuFr,9,1
94,2,0.047,72,2,468,Tu,9,1
96,4,0.044,72,2,612,TuFr,9,1
163,5,0.066,72,2,689,TuFr,9,1
184,4,0.079,68,2,612,MoTh,10,1
194,5,0.061,61,2,711,TuFr,10,1
217,5,0.033,60,2,402,MoTh,8,1
228,5,0.031,72,2,533,TuFr,9,1
234,4,0.038,81,2,767,MoTh,9,1
236,5,0.041,55,2,479,MoTh,9,1
249,5,0.034,48,2,947,TuFr,9,1
260,5,0.049,72,2,676,TuFr,9,1
286,5,0.035,69,2,667,TuFr,9,1
287,2,0.056,56,3,596,WeFr,13,1
295,4,0.035,48,3,626,Fr,11,1
306,2,0.039,40,2,593,TuFr,9,1
309,5,0.045,73,2,489,Th,9,1
322,5,0.044,56,2,463,TuFr,10,1
325,4,0.031,60,2,477,TuFr,9,1
330,5,0.039,64,2,460,TuFr,10,1
331,5,0.031,80,2,409,TuFr,9,1
344,5,0.035,72,2,444,MoTh,9,1
345,5,0.056,72,2,637,TuFr,10,1
356,2,0.031,61,2,736,TuFr,9,1
361,3,0.031,76,2,663,TuTh,9,1
363,4,0.044,60,3,486,MoWeTh,13,1
376,5,0.059,72,2,468,TuTh,9,1
386,5,0.043,68,2,454,TuFr,9,1
400,5,0.131,108,2,560,TuFr,10,1
408,5,0.039,61,2,589,MoTh,10,1
412,5,0.053,48,2,640,TuFr,9,1
424,2,0.031,48,2,591,MoFr,11,1
426,5,0.033,61,2,421,TuFr,9,1
432,2,0.038,60,3,446,MoTh,12,1
437,5,0.035,60,2,632,TuFr,9,1
442,5,0.07,68,2,465,TuFr,9,1
449,5,0.052,69,2,482,TuFr,9,1
458,5,0.039,60,2,573,MoTh,9,1
461,5,0.041,61,2,1093,TuFr,11,1
463,5,0.039,72,2,480,TuFr,10,1
492,3,0.031,60,2,439,Fr,8,1
494,2,0.053,68,2,476,MoTh,9,1
513,5,0.044,41,2,734,MoTh,10,1
524,5,0.038,56,2,414,MoTh,9,1
531,5,0.04,65,2,434,Fr,9,1
532,5,0.038,81,2,702,MoTh,11,1
533,5,0.059,73,2,428,TuTh,9,1
538,2,0.044,64,2,467,WeFr,9,1
540,5,0.032,40,2,577,WeFr,10,1
541,5,0.043,72,2,535,MoTh,10,1
542,5,0.031,84,2,492,TuTh,10,1
543,5,0.05,105,2,588,Fr,9,1
546,5,0.05,72,2,822,TuFr,10,1
547,2,0.048,155,3,687,Th,14,1
549,5,0.043,61,2,874,MoTh,9,1
551,2,0.039,61,3,582,Sa,14,1
560,4,0.049,68,3,643,Fr,13,1
571,3,0.037,57,2,564,TuFr,9,1
572,5,0.076,69,2,553,TuFr,9,1
573,4,0.041,61,2,559,TuFr,9,1
578,2,0.033,72,3,800,MoTh,12,1
579,2,0.034,40,3,763,TuThSa,13,1
582,2,0.07,60,4,1009,MoTuThSa,18,1
586,2,0.031,72,2,519,MoTh,9,1
601,5,0.036,72,2,682,TuFr,9,1
603,3,0.047,103,3,492,Sa,13,1
611,5,0.06,61,2,461,MoTh,9,1
613,2,0.036,80,4,744,Sa,18,1
615,2,0.035,72,2,507,TuTh,9,1
616,2,0.042,72,2,900,TuFr,9,1
